p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_cost,anytime_cost,top_cost,memory_style,hyper_parametr
1.0,true,5,0.0,,0.2,1.0,2,33,1060,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,34,1360,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,35,1294,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,36,744,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,37,1040,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,38,1068,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,39,1190,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,40,806,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,41,750,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,42,818,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,43,854,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,44,930,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,45,930,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,46,594,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,47,720,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,48,594,2147483647,694,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,49,880,2147483647,694,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,50,880,2147483647,694,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,51,880,2147483647,694,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,52,594,2147483647,694,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,53,668,2147483647,694,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,54,808,2147483647,694,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,55,808,2147483647,694,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,56,794,2147483647,694,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,57,644,2147483647,694,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,58,644,2147483647,694,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,59,644,2147483647,694,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,60,644,2147483647,694,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,61,594,694,694,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,62,594,694,694,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,63,594,694,694,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,64,594,694,694,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,65,594,694,694,3,0.0
1.0,true,5,0.0,,0.2,1.0,2,66,594,694,694,3,0.0
