algo,p1,p2,mean_run,p3,upper_bound,itiration,real_cost
dsa0.6,0.2,1.0,1,0.5,5,131,6619
dsa0.6,0.2,1.0,1,0.5,5,132,6619
dsa0.6,0.2,1.0,1,0.5,5,133,6619
dsa0.6,0.2,1.0,1,0.5,5,134,6619
dsa0.6,0.2,1.0,1,0.5,5,135,6619
dsa0.6,0.2,1.0,1,0.5,5,136,6619
dsa0.6,0.2,1.0,1,0.5,5,137,6619
dsa0.6,0.2,1.0,1,0.5,5,138,6619
dsa0.6,0.2,1.0,1,0.5,5,139,6619
dsa0.6,0.2,1.0,1,0.5,5,140,6619
dsa0.6,0.2,1.0,1,0.5,5,141,6619
dsa0.6,0.2,1.0,1,0.5,5,142,6619
dsa0.6,0.2,1.0,1,0.5,5,143,6619
dsa0.6,0.2,1.0,1,0.5,5,144,6619
dsa0.6,0.2,1.0,1,0.5,5,145,6619
dsa0.6,0.2,1.0,1,0.5,5,146,6619
dsa0.6,0.2,1.0,1,0.5,5,147,6619
dsa0.6,0.2,1.0,1,0.5,5,148,6619
dsa0.6,0.2,1.0,1,0.5,5,149,6619
dsa0.6,0.2,1.0,1,0.5,5,150,6619
dsa0.6,0.2,1.0,1,0.5,5,151,6619
dsa0.6,0.2,1.0,1,0.5,5,152,6619
dsa0.6,0.2,1.0,1,0.5,5,153,6619
dsa0.6,0.2,1.0,1,0.5,5,154,6619
dsa0.6,0.2,1.0,1,0.5,5,155,6619
dsa0.6,0.2,1.0,1,0.5,5,156,6619
dsa0.6,0.2,1.0,1,0.5,5,157,6619
dsa0.6,0.2,1.0,1,0.5,5,158,6619
dsa0.6,0.2,1.0,1,0.5,5,159,6619
dsa0.6,0.2,1.0,1,0.5,5,160,6619
dsa0.6,0.2,1.0,1,0.5,5,161,6619
dsa0.6,0.2,1.0,1,0.5,5,162,6619
dsa0.6,0.2,1.0,1,0.5,5,163,6619
dsa0.6,0.2,1.0,1,0.5,5,164,6619
dsa0.6,0.2,1.0,1,0.5,5,165,6619
dsa0.6,0.2,1.0,1,0.5,5,166,6619
dsa0.6,0.2,1.0,1,0.5,5,167,6619
dsa0.6,0.2,1.0,1,0.5,5,168,6619
dsa0.6,0.2,1.0,1,0.5,5,169,6619
dsa0.6,0.2,1.0,1,0.5,5,170,6619
dsa0.6,0.2,1.0,1,0.5,5,171,6619
dsa0.6,0.2,1.0,1,0.5,5,172,6619
dsa0.6,0.2,1.0,1,0.5,5,173,6619
dsa0.6,0.2,1.0,1,0.5,5,174,6619
dsa0.6,0.2,1.0,1,0.5,5,175,6619
dsa0.6,0.2,1.0,1,0.5,5,176,6619
dsa0.6,0.2,1.0,1,0.5,5,177,6619
dsa0.6,0.2,1.0,1,0.5,5,178,6619
dsa0.6,0.2,1.0,1,0.5,5,179,6619
dsa0.6,0.2,1.0,1,0.5,5,180,6619
dsa0.6,0.2,1.0,1,0.5,5,181,6619
dsa0.6,0.2,1.0,1,0.5,5,182,6619
dsa0.6,0.2,1.0,1,0.5,5,183,6619
dsa0.6,0.2,1.0,1,0.5,5,184,6619
dsa0.6,0.2,1.0,1,0.5,5,185,6619
dsa0.6,0.2,1.0,1,0.5,5,186,6619
dsa0.6,0.2,1.0,1,0.5,5,187,6619
dsa0.6,0.2,1.0,1,0.5,5,188,6619
dsa0.6,0.2,1.0,1,0.5,5,189,6619
dsa0.6,0.2,1.0,1,0.5,5,190,6619
dsa0.6,0.2,1.0,1,0.5,5,191,6619
dsa0.6,0.2,1.0,1,0.5,5,192,6619
dsa0.6,0.2,1.0,1,0.5,5,193,6619
dsa0.6,0.2,1.0,1,0.5,5,194,6619
dsa0.6,0.2,1.0,1,0.5,5,195,6619
dsa0.6,0.2,1.0,1,0.5,5,196,6619
dsa0.6,0.2,1.0,1,0.5,5,197,6619
dsa0.6,0.2,1.0,1,0.5,5,198,6619
dsa0.6,0.2,1.0,1,0.5,5,199,6619
dsa0.6,0.2,1.0,1,0.5,10,0,12588
dsa0.6,0.2,1.0,1,0.5,10,1,10586
dsa0.6,0.2,1.0,1,0.5,10,2,10104
dsa0.6,0.2,1.0,1,0.5,10,3,9175
dsa0.6,0.2,1.0,1,0.5,10,4,9651
dsa0.6,0.2,1.0,1,0.5,10,5,9609
dsa0.6,0.2,1.0,1,0.5,10,6,9253
dsa0.6,0.2,1.0,1,0.5,10,7,9008
dsa0.6,0.2,1.0,1,0.5,10,8,8757
dsa0.6,0.2,1.0,1,0.5,10,9,8297
dsa0.6,0.2,1.0,1,0.5,10,10,8140
dsa0.6,0.2,1.0,1,0.5,10,11,7615
dsa0.6,0.2,1.0,1,0.5,10,12,8001
dsa0.6,0.2,1.0,1,0.5,10,13,7842
dsa0.6,0.2,1.0,1,0.5,10,14,7330
dsa0.6,0.2,1.0,1,0.5,10,15,7807
dsa0.6,0.2,1.0,1,0.5,10,16,7625
dsa0.6,0.2,1.0,1,0.5,10,17,7458
dsa0.6,0.2,1.0,1,0.5,10,18,7458
dsa0.6,0.2,1.0,1,0.5,10,19,7304
dsa0.6,0.2,1.0,1,0.5,10,20,7259
dsa0.6,0.2,1.0,1,0.5,10,21,6966
dsa0.6,0.2,1.0,1,0.5,10,22,6922
dsa0.6,0.2,1.0,1,0.5,10,23,6869
dsa0.6,0.2,1.0,1,0.5,10,24,7077
dsa0.6,0.2,1.0,1,0.5,10,25,7073
dsa0.6,0.2,1.0,1,0.5,10,26,7115
dsa0.6,0.2,1.0,1,0.5,10,27,7065
dsa0.6,0.2,1.0,1,0.5,10,28,7120
